regime,sweep,sweep_value,shared_cell_id,d,N,average_in_degree,replication,method_internal,method_display,master_seed,data_seed,method_seed
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,2,LibraryDP,Proposed DP-BIC,20260622,14570562143543575454,12456987580508362932
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,2,LibraryGreedy,Greedy-BIC,20260622,14570562143543575454,1741349517844370443
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,2,OracleDP,Oracle DP,20260622,14570562143543575454,16312532732210822019
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,2,PoissonDAG-ODS,ODS,20260622,14570562143543575454,2200809178932938279
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,2,PC-RCIT,PC-RCIT,20260622,14570562143543575454,3073842535116837281
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,2,PBSCM,PB-SCM,20260622,14570562143543575454,14884422141350473707
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,2,PBSCM_PGF,PB-SCM-PGF,20260622,14570562143543575454,8348294693990545066
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,3,LibraryDP,Proposed DP-BIC,20260622,9736479805326647273,12680572749082817264
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,3,LibraryGreedy,Greedy-BIC,20260622,9736479805326647273,17416813864809287885
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,3,OracleDP,Oracle DP,20260622,9736479805326647273,4333467232346206600
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,3,PoissonDAG-ODS,ODS,20260622,9736479805326647273,7780081750851718415
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,3,PC-RCIT,PC-RCIT,20260622,9736479805326647273,1632632905540159652
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,3,PBSCM,PB-SCM,20260622,9736479805326647273,13915453257129766183
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,3,PBSCM_PGF,PB-SCM-PGF,20260622,9736479805326647273,14809238163049557223
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,4,LibraryDP,Proposed DP-BIC,20260622,2242092427865750188,15077241553875584585
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,4,LibraryGreedy,Greedy-BIC,20260622,2242092427865750188,3256377984932142937
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,4,OracleDP,Oracle DP,20260622,2242092427865750188,15571135220453309405
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,4,PoissonDAG-ODS,ODS,20260622,2242092427865750188,13823223931046644889
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,4,PC-RCIT,PC-RCIT,20260622,2242092427865750188,14113668570488127192
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,4,PBSCM,PB-SCM,20260622,2242092427865750188,12466150713334764808
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,4,PBSCM_PGF,PB-SCM-PGF,20260622,2242092427865750188,381488609494857033
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,5,LibraryDP,Proposed DP-BIC,20260622,11463910938439765445,15713990571456043478
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,5,LibraryGreedy,Greedy-BIC,20260622,11463910938439765445,11033520527315078704
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,5,OracleDP,Oracle DP,20260622,11463910938439765445,7652100110964677313
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,5,PoissonDAG-ODS,ODS,20260622,11463910938439765445,1584736485081880253
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,5,PC-RCIT,PC-RCIT,20260622,11463910938439765445,393638116154161611
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,5,PBSCM,PB-SCM,20260622,11463910938439765445,12430017602714573836
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,5,PBSCM_PGF,PB-SCM-PGF,20260622,11463910938439765445,9535323189691222181
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,6,LibraryDP,Proposed DP-BIC,20260622,8076331881364933046,7121027731740917754
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,6,LibraryGreedy,Greedy-BIC,20260622,8076331881364933046,16742387828933705970
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,6,OracleDP,Oracle DP,20260622,8076331881364933046,13595732743921262139
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,6,PoissonDAG-ODS,ODS,20260622,8076331881364933046,17920409897523395325
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,6,PC-RCIT,PC-RCIT,20260622,8076331881364933046,16786169448346431440
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,6,PBSCM,PB-SCM,20260622,8076331881364933046,6228180885966402004
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,6,PBSCM_PGF,PB-SCM-PGF,20260622,8076331881364933046,18298875471903794389
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,7,LibraryDP,Proposed DP-BIC,20260622,16570779731138830208,4713322402994006723
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,7,LibraryGreedy,Greedy-BIC,20260622,16570779731138830208,6058794063830652885
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,7,OracleDP,Oracle DP,20260622,16570779731138830208,1006890964526114326
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,7,PoissonDAG-ODS,ODS,20260622,16570779731138830208,2472939129315255631
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,7,PC-RCIT,PC-RCIT,20260622,16570779731138830208,6163630662541551550
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,7,PBSCM,PB-SCM,20260622,16570779731138830208,5448875937908052337
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,7,PBSCM_PGF,PB-SCM-PGF,20260622,16570779731138830208,8972079228654839399
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,8,LibraryDP,Proposed DP-BIC,20260622,9642439056549997273,12505199713644267517
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,8,LibraryGreedy,Greedy-BIC,20260622,9642439056549997273,14014831959938688842
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,8,OracleDP,Oracle DP,20260622,9642439056549997273,4741086397849839710
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,8,PoissonDAG-ODS,ODS,20260622,9642439056549997273,15286179440887653457
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,8,PC-RCIT,PC-RCIT,20260622,9642439056549997273,13745145031013404353
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,8,PBSCM,PB-SCM,20260622,9642439056549997273,2543489988587160020
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,8,PBSCM_PGF,PB-SCM-PGF,20260622,9642439056549997273,7741395412227554799
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,9,LibraryDP,Proposed DP-BIC,20260622,16045511731623336087,77353478535331422
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,9,LibraryGreedy,Greedy-BIC,20260622,16045511731623336087,5989076339736521077
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,9,OracleDP,Oracle DP,20260622,16045511731623336087,3718301882416807939
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,9,PoissonDAG-ODS,ODS,20260622,16045511731623336087,14650811694263277640
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,9,PC-RCIT,PC-RCIT,20260622,16045511731623336087,13339642406316227465
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,9,PBSCM,PB-SCM,20260622,16045511731623336087,16023293198112806931
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,9,PBSCM_PGF,PB-SCM-PGF,20260622,16045511731623336087,17137922582708292194
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,10,LibraryDP,Proposed DP-BIC,20260622,13627553921141464021,4635160092089018608
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,10,LibraryGreedy,Greedy-BIC,20260622,13627553921141464021,8382763918528062809
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,10,OracleDP,Oracle DP,20260622,13627553921141464021,10616096309622185838
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,10,PoissonDAG-ODS,ODS,20260622,13627553921141464021,7828177423783883888
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,10,PC-RCIT,PC-RCIT,20260622,13627553921141464021,12037230881351458427
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,10,PBSCM,PB-SCM,20260622,13627553921141464021,13803522577684748420
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,10,PBSCM_PGF,PB-SCM-PGF,20260622,13627553921141464021,2524384760443564375
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,11,LibraryDP,Proposed DP-BIC,20260622,10869538083178863276,2285669302161155734
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,11,LibraryGreedy,Greedy-BIC,20260622,10869538083178863276,13585742180187295324
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,11,OracleDP,Oracle DP,20260622,10869538083178863276,4161079486833865222
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,11,PoissonDAG-ODS,ODS,20260622,10869538083178863276,14497004416749572666
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,11,PC-RCIT,PC-RCIT,20260622,10869538083178863276,7688869035250146277
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,11,PBSCM,PB-SCM,20260622,10869538083178863276,9201785633150948400
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,11,PBSCM_PGF,PB-SCM-PGF,20260622,10869538083178863276,746295081660186281
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,12,LibraryDP,Proposed DP-BIC,20260622,17276279099196976262,3476816084320245586
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,12,LibraryGreedy,Greedy-BIC,20260622,17276279099196976262,12801509297323702152
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,12,OracleDP,Oracle DP,20260622,17276279099196976262,18062498627301969699
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,12,PoissonDAG-ODS,ODS,20260622,17276279099196976262,463412581450995517
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,12,PC-RCIT,PC-RCIT,20260622,17276279099196976262,2767112396370372702
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,12,PBSCM,PB-SCM,20260622,17276279099196976262,13628346500095365283
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,12,PBSCM_PGF,PB-SCM-PGF,20260622,17276279099196976262,11760135595891101899
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,13,LibraryDP,Proposed DP-BIC,20260622,12762248322411102252,17030881708369357925
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,13,LibraryGreedy,Greedy-BIC,20260622,12762248322411102252,1101585241674069034
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,13,OracleDP,Oracle DP,20260622,12762248322411102252,15891766591482839476
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,13,PoissonDAG-ODS,ODS,20260622,12762248322411102252,9492926205474007608
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,13,PC-RCIT,PC-RCIT,20260622,12762248322411102252,18113239504205246896
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,13,PBSCM,PB-SCM,20260622,12762248322411102252,6941908918827590312
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,13,PBSCM_PGF,PB-SCM-PGF,20260622,12762248322411102252,10005193399068684500
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,14,LibraryDP,Proposed DP-BIC,20260622,9610689635293167906,12934508548587904728
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,14,LibraryGreedy,Greedy-BIC,20260622,9610689635293167906,3977973718441908112
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,14,OracleDP,Oracle DP,20260622,9610689635293167906,13050071357314529358
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,14,PoissonDAG-ODS,ODS,20260622,9610689635293167906,10918046737650767398
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,14,PC-RCIT,PC-RCIT,20260622,9610689635293167906,5702918218121792636
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,14,PBSCM,PB-SCM,20260622,9610689635293167906,6401865869220745945
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,14,PBSCM_PGF,PB-SCM-PGF,20260622,9610689635293167906,4079180890639471211
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,15,LibraryDP,Proposed DP-BIC,20260622,9338067130513616203,3747663077085252499
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,15,LibraryGreedy,Greedy-BIC,20260622,9338067130513616203,8221627540526686915
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,15,OracleDP,Oracle DP,20260622,9338067130513616203,2121592652993534987
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,15,PoissonDAG-ODS,ODS,20260622,9338067130513616203,3675274146668526079
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,15,PC-RCIT,PC-RCIT,20260622,9338067130513616203,9291732662516304573
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,15,PBSCM,PB-SCM,20260622,9338067130513616203,455760686312356971
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,15,PBSCM_PGF,PB-SCM-PGF,20260622,9338067130513616203,13975224471209627460
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,16,LibraryDP,Proposed DP-BIC,20260622,18146646398896933381,11988930888841540648
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,16,LibraryGreedy,Greedy-BIC,20260622,18146646398896933381,14874721560880332795
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,16,OracleDP,Oracle DP,20260622,18146646398896933381,4955388742891234414
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,16,PoissonDAG-ODS,ODS,20260622,18146646398896933381,10786051211228685121
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,16,PC-RCIT,PC-RCIT,20260622,18146646398896933381,18366410213165750910
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,16,PBSCM,PB-SCM,20260622,18146646398896933381,13565540454589332030
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,16,PBSCM_PGF,PB-SCM-PGF,20260622,18146646398896933381,9893671725582885697
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,17,LibraryDP,Proposed DP-BIC,20260622,7725322322338315354,16899463182307383408
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,17,LibraryGreedy,Greedy-BIC,20260622,7725322322338315354,2278641031509932493
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,17,OracleDP,Oracle DP,20260622,7725322322338315354,2372720012488972907
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,17,PoissonDAG-ODS,ODS,20260622,7725322322338315354,10528431378805116593
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,17,PC-RCIT,PC-RCIT,20260622,7725322322338315354,4816003075678506101
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,17,PBSCM,PB-SCM,20260622,7725322322338315354,8202344780214599351
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,17,PBSCM_PGF,PB-SCM-PGF,20260622,7725322322338315354,12248563507196812603
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,18,LibraryDP,Proposed DP-BIC,20260622,4177587685573568675,12611716019768888783
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,18,LibraryGreedy,Greedy-BIC,20260622,4177587685573568675,16200214265703230199
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,18,OracleDP,Oracle DP,20260622,4177587685573568675,13516893779187678402
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,18,PoissonDAG-ODS,ODS,20260622,4177587685573568675,17023109334410949782
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,18,PC-RCIT,PC-RCIT,20260622,4177587685573568675,4758112224434192180
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,18,PBSCM,PB-SCM,20260622,4177587685573568675,18090874317381603342
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,18,PBSCM_PGF,PB-SCM-PGF,20260622,4177587685573568675,9969187447494671997
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,19,LibraryDP,Proposed DP-BIC,20260622,7021731555800676621,16533408043216868573
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,19,LibraryGreedy,Greedy-BIC,20260622,7021731555800676621,983906452897419132
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,19,OracleDP,Oracle DP,20260622,7021731555800676621,4880860436679069166
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,19,PoissonDAG-ODS,ODS,20260622,7021731555800676621,17812397844241792570
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,19,PC-RCIT,PC-RCIT,20260622,7021731555800676621,6954089589455285673
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,19,PBSCM,PB-SCM,20260622,7021731555800676621,9991850082304118385
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,19,PBSCM_PGF,PB-SCM-PGF,20260622,7021731555800676621,17580570450948937574
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,20,LibraryDP,Proposed DP-BIC,20260622,14658602722261584593,1466351418270918214
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,20,LibraryGreedy,Greedy-BIC,20260622,14658602722261584593,5457342573333220328
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,20,OracleDP,Oracle DP,20260622,14658602722261584593,13473522879499601121
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,20,PoissonDAG-ODS,ODS,20260622,14658602722261584593,3050532416582173896
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,20,PC-RCIT,PC-RCIT,20260622,14658602722261584593,4241236059633178518
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,20,PBSCM,PB-SCM,20260622,14658602722261584593,466219866651755669
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,20,PBSCM_PGF,PB-SCM-PGF,20260622,14658602722261584593,17384067993518838059
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,21,LibraryDP,Proposed DP-BIC,20260622,13941114516548793281,4191039537570431722
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,21,LibraryGreedy,Greedy-BIC,20260622,13941114516548793281,11115720658458942552
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,21,OracleDP,Oracle DP,20260622,13941114516548793281,12276124982388105171
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,21,PoissonDAG-ODS,ODS,20260622,13941114516548793281,6543768270586646367
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,21,PC-RCIT,PC-RCIT,20260622,13941114516548793281,4375824812362334745
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,21,PBSCM,PB-SCM,20260622,13941114516548793281,5079394625040340493
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,21,PBSCM_PGF,PB-SCM-PGF,20260622,13941114516548793281,15601943403733610637
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,22,LibraryDP,Proposed DP-BIC,20260622,1175750069058110457,18399648088279205667
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,22,LibraryGreedy,Greedy-BIC,20260622,1175750069058110457,7941097775122308572
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,22,OracleDP,Oracle DP,20260622,1175750069058110457,11883772746342689759
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,22,PoissonDAG-ODS,ODS,20260622,1175750069058110457,5005619379576296574
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,22,PC-RCIT,PC-RCIT,20260622,1175750069058110457,322593520261847909
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,22,PBSCM,PB-SCM,20260622,1175750069058110457,7992961297514822559
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,22,PBSCM_PGF,PB-SCM-PGF,20260622,1175750069058110457,9211675451115225933
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,23,LibraryDP,Proposed DP-BIC,20260622,8830126398556091916,16244352445505042788
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,23,LibraryGreedy,Greedy-BIC,20260622,8830126398556091916,2761753942411386398
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,23,OracleDP,Oracle DP,20260622,8830126398556091916,4296764029559136014
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,23,PoissonDAG-ODS,ODS,20260622,8830126398556091916,1098011446393815047
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,23,PC-RCIT,PC-RCIT,20260622,8830126398556091916,9121303580648933210
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,23,PBSCM,PB-SCM,20260622,8830126398556091916,268680099372702485
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,23,PBSCM_PGF,PB-SCM-PGF,20260622,8830126398556091916,9191694524952106659
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,24,LibraryDP,Proposed DP-BIC,20260622,13181655577891518471,6162146412878727402
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,24,LibraryGreedy,Greedy-BIC,20260622,13181655577891518471,9212834666270835217
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,24,OracleDP,Oracle DP,20260622,13181655577891518471,14827202933539675928
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,24,PoissonDAG-ODS,ODS,20260622,13181655577891518471,10016045592872916516
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,24,PC-RCIT,PC-RCIT,20260622,13181655577891518471,4967034356534039251
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,24,PBSCM,PB-SCM,20260622,13181655577891518471,10166785245262423275
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,24,PBSCM_PGF,PB-SCM-PGF,20260622,13181655577891518471,17330438998959995055
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,25,LibraryDP,Proposed DP-BIC,20260622,5440244459365535390,5561870623631134216
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,25,LibraryGreedy,Greedy-BIC,20260622,5440244459365535390,6308657923040970960
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,25,OracleDP,Oracle DP,20260622,5440244459365535390,4847024276862215907
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,25,PoissonDAG-ODS,ODS,20260622,5440244459365535390,3033063998124412558
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,25,PC-RCIT,PC-RCIT,20260622,5440244459365535390,866480633351414006
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,25,PBSCM,PB-SCM,20260622,5440244459365535390,2483991701164405284
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,25,PBSCM_PGF,PB-SCM-PGF,20260622,5440244459365535390,11983345707433958254
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,26,LibraryDP,Proposed DP-BIC,20260622,9970446751667636839,10895691888915966557
restricted,dimension,4.0,restricted_d4_N3200_k1p5,4,3200,1.5,26,LibraryGreedy,Greedy-BIC,20260622,9970446751667636839,6365768268798829654
